id,form,lemma,upos,EV_ann_1,EV_ann_2,MF_ann_1,MF_ann_2,AGREED_ann_1,AGREED_ann_2,comparison,Unnamed: 22,Unnamed: 23,lila:token.1,ent_label_BERT,ent_label_BERT_hypopt,ent_label_SpaCy,ent_label_CRF,DIFF_gold_models,err_ent_label_BERT,err_ent_label_BERT_hypopt,err_ent_label_SpaCy,err_ent_label_CRF
3,Diomedeas,diomedeus,ADJ,B-PER,,O,,O,,DIFF,same as above,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0000345,O,B-GRP,O,B-GRP,DIFF,,ERROR,,ERROR
54,Flaminiam,flaminia,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0000396,O,B-LOC,O,B-LOC,DIFF,ERROR,,ERROR,
6,Calenum,calenum,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0000452,B-PERS,O,B-PERS,B-PERS,DIFF,ERROR,ERROR,ERROR,ERROR
3,Deucalion,deucalion,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0000524,B-PERS,O,B-LOC,O,DIFF,,ERROR,ERROR,ERROR
6,Troiugenas,troiugena,PROPN,B-PER,collective,B-GRP,,B-GRP,,DIFF,as it is a sort of “ethnic” indication I chose GRP; Evelien: Agreed,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0000643,B-GRP,B-LOC,B-PERS,B-GRP,DIFF,,ERROR,ERROR,
7,Laurenti,laurens,ADJ,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0000694,B-PERS,B-LOC,B-PERS,B-LOC,DIFF,ERROR,,ERROR,
13,Apollo,apollo,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0000833,O,B-PERS,B-PERS,B-PERS,DIFF,ERROR,,,
12,Achilles,achilles,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001063,O,B-PERS,B-PERS,B-GRP,DIFF,ERROR,,,ERROR
16,Hylas,hylas,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001067,O,B-PERS,B-PERS,B-GRP,DIFF,ERROR,,,ERROR
7,Flaminia,flaminia,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001112,B-PERS,O,O,B-LOC,DIFF,ERROR,ERROR,ERROR,
7,glacialem,glacialis,ADJ,O,,O,,O,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001123,B-LOC,O,O,O,DIFF,ERROR,,,
24,Cleanthas,cleanthes,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001159,O,B-PERS,B-PERS,O,DIFF,ERROR,,,ERROR
6,Socraticos,socraticus,ADJ,B-PER,?,B-GRP,,B-GRP,,DIFF,"since it was not a single person, I highlighted the fact that they belong to a certain gorup..but I struggled; Evelien: same, this is why I put a ?; again because I took the definition of political and ethnic groups I was uncertain whether to put GRP, but I think it is better to put GRP",???,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001175,O,B-GRP,O,B-GRP,DIFF,ERROR,,ERROR,
2,Uarillus,uarillus,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001252,O,B-PERS,B-PERS,B-PERS,DIFF,ERROR,,,
4,Aethiopem,aethiops,ADJ,B-PER,?,B-GEO,,B-LOC,,DIFF,"again, not specific human named entity, so onyl chose to specify origin; Evelien: agreed, to be discussed whether this is GRP or LOC",,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001260,B-PERS,O,B-PERS,B-PERS,DIFF,ERROR,ERROR,ERROR,ERROR
3,Gracchos,gracchus,PROPN,B-PER,collective,B-GRP,,B-GRP,,DIFF,"same as above with Socraticos etc; Evelien: family name, same as above indeed",,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001264,B-GRP,I-PERS,B-PERS,B-GRP,DIFF,,ERROR,ERROR,
24,Iulia,iulia,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001317,O,B-PERS,B-PERS,B-LOC,DIFF,ERROR,,,ERROR
11,Scauros,scaurus,PROPN,B-PER,,B-GRP,,B-GRP,,DIFF,more of a category to me; Evelien: I annotated Person because it does refer to a specific person according to the note in the Loeb; again I have some doubts regarding using GRP..,???,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001334,B-GRP,B-PERS,B-PERS,B-GRP,DIFF,,ERROR,ERROR,
7,Hister,hister,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001489,B-PERS,B-LOC,B-LOC,B-LOC,DIFF,,ERROR,ERROR,ERROR
7,Stoicidae,stoicida,PROPN,B-GRP,,B-GRP,,B-GRP,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001529,I-PERS,B-GRP,B-PERS,B-LOC,DIFF,ERROR,,ERROR,ERROR
11,Laronia,laronia,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001533,O,B-PERS,B-PERS,B-LOC,DIFF,ERROR,,,ERROR
18,Proculas,procula,PROPN,B-PER,,B-GRP,,B-GRP,,DIFF,"doubted, since it is more of a category. But I see why we could annotated it with PER; Evelien: to be discussed",???,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001551,O,B-PERS,B-PERS,B-GRP,DIFF,ERROR,ERROR,ERROR,
20,Pollittas,pollitta,PROPN,B-PER,,B-GRP,,B-GRP,,DIFF,idem,???,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001553,O,B-PERS,B-PERS,B-GRP,DIFF,ERROR,ERROR,ERROR,
8,Carfinia,carfinia,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001561,B-PERS,B-LOC,B-LOC,B-LOC,DIFF,,ERROR,ERROR,ERROR
16,montanum,montanus,ADJ,O,,O,,O,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001592,I-PERS,O,O,O,DIFF,ERROR,,,
6,Cecropiam,cecropius,ADJ,B-GRP,?,B-PER,Nested B-GEO,B-PERS,Nested B-GEO,DIFF,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001706,B-PERS,O,B-LOC,B-LOC,DIFF,,ERROR,ERROR,ERROR
41,Othonis,otho,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001751,O,B-PERS,B-PERS,B-PERS,DIFF,ERROR,,,
30,Sameramis,semiramis,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001805,O,B-PERS,B-PERS,B-GRP,DIFF,ERROR,,,ERROR
34,Actiaca,actiacus,ADJ,B-GEO,,B-PER,Nested B-GEO,B-LOC,,DIFF,"I considered Actiaca Cleopatra, but I agree that maybe your choice is better and more straightforward, as here it is clear that it qualifies a specific moment in Cleopatra’s life, and that it is not a “fixed” quality that helps to identify one specific Cleopatra among others.; Evelien: agreed",,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001809,O,B-LOC,B-PERS,O,DIFF,ERROR,,ERROR,ERROR
36,Cleopatra,cleopatra,PROPN,B-PER,,I-PER,,I-PERS,,DIFF,Consequence of previous,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001811,B-PERS,B-LOC,B-LOC,O,DIFF,ERROR,ERROR,ERROR,ERROR
10,Cybeles,cybele,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001822,O,I-PERS,B-LOC,B-PERS,DIFF,ERROR,ERROR,ERROR,
7,Latiis,latius,ADJ,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001924,B-GRP,O,O,B-GRP,DIFF,ERROR,ERROR,ERROR,ERROR
9,Quirini,quirinus,PROPN,I-GEO,Nested B-PER,I-GEO,Nested B-PER,I-LOC,Nested B-PER,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0001968,B-PERS,B-LOC,B-LOC,O,DIFF,ERROR,ERROR,ERROR,ERROR
6,fuscina,fuscina,NOUN,O,,O,,O,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002034,B-PERS,O,O,O,DIFF,ERROR,,,
20,Cannis,cannae,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002115,B-LOC,O,B-LOC,B-GRP,DIFF,,ERROR,,ERROR
5,Iuuernae,hibernia,PROPN,I-GEO,,I-GEO,,I-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002149,B-PERS,I-PERS,B-LOC,B-LOC,DIFF,ERROR,ERROR,ERROR,ERROR
4,Armenius,armenius,ADJ,B-PER,Nested B-GEO?,B-PER,Nested B-GEO,B-PERS,Nested B-GEO,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002176,B-PERS,I-PERS,B-PERS,B-PERS,DIFF,,ERROR,,
5,Zalaces,zalaces,PROPN,I-PER,?,B-PER,,I-PERS,,DIFF,"my mistake, it is in fact I-PER, but since I changed my mind on the annotation, I forgot to update this token",,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002177,O,B-LOC,O,I-PERS,DIFF,ERROR,ERROR,ERROR,
9,Artaxata,artaxata,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002214,O,B-LOC,B-PERS,O,DIFF,ERROR,,ERROR,ERROR
5,Suburae,subura,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002246,B-LOC,O,O,B-LOC,DIFF,,ERROR,ERROR,
33,Daedalus,daedalus,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002375,O,B-PERS,B-LOC,B-PERS,DIFF,ERROR,,ERROR,
5,Catulus,catulus,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002406,O,B-PERS,B-PERS,B-PERS,DIFF,ERROR,,,
2,Romae,roma,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002480,O,B-LOC,B-LOC,B-LOC,DIFF,ERROR,,,
3,Uerri,uerres,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002564,B-PERS,O,B-PERS,B-GRP,DIFF,,ERROR,,ERROR
5,Tiberim,tiberis,PROPN,B-GEO,?,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002630,O,B-LOC,B-LOC,O,DIFF,ERROR,,,ERROR
6,Quirine,quirinus,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002668,O,B-PERS,B-LOC,B-PERS,DIFF,ERROR,,ERROR,
10,niceteria,niceterium,NOUN,O,,O,,O,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002672,O,B-PERS,O,O,DIFF,,ERROR,,
6,Amydone,amydon,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002679,B-LOC,O,B-LOC,B-PERS,DIFF,,ERROR,,ERROR
9,Andro,andrus,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002682,B-LOC,O,B-LOC,B-PERS,DIFF,,ERROR,,ERROR
11,Samo,samus,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002684,B-LOC,O,B-LOC,B-PERS,DIFF,,ERROR,,ERROR
13,Trallibus,trallis,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002686,B-LOC,O,B-LOC,B-GRP,DIFF,,ERROR,,ERROR
15,Alabandis,alabanda,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002688,B-LOC,O,O,B-PERS,DIFF,,ERROR,ERROR,ERROR
16,Esquilias,esquiliae,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002689,B-LOC,O,O,I-PERS,DIFF,,ERROR,ERROR,ERROR
8,Isaeo,isaeus,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002709,O,B-PERS,O,B-PERS,DIFF,ERROR,,ERROR,
19,Graeculus,graeculus,ADJ,B-GRP,,B-GEO,,B-GRP,,DIFF,"ethnical element, you are probably right",,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002734,O,B-GRP,O,B-PERS,DIFF,ERROR,,ERROR,ERROR
16,Athenis,athenae,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002755,B-LOC,O,B-LOC,B-GRP,DIFF,,ERROR,,ERROR
11,Romam,roma,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002771,O,B-LOC,B-LOC,B-LOC,DIFF,ERROR,,,
13,Sabina,sabinus,ADJ,B-GRP,,B-GEO,,B-GRP,,DIFF,"always same problem; Evelien: I annotated all these adjectives as GRP, trying to follow Herodotos.",,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002789,B-GRP,I-LOC,B-LOC,O,DIFF,,ERROR,ERROR,ERROR
4,Thaida,thais,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002837,O,B-PERS,B-PERS,B-GRP,DIFF,ERROR,,,ERROR
12,Dorida,doris,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0002845,O,B-PERS,B-LOC,B-GRP,DIFF,ERROR,,ERROR,ERROR
9,Protogenes,protogenes,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003017,O,B-PERS,B-PERS,B-GRP,DIFF,ERROR,,,ERROR
12,Diphilus,diphilus,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003020,O,B-PERS,B-PERS,B-PERS,DIFF,ERROR,,,
14,Hermarchus,hermarchus,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003022,O,B-PERS,B-PERS,B-PERS,DIFF,ERROR,,,
18,seruitii,seruitium,NOUN,O,,O,,O,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003048,B-PERS,O,O,O,DIFF,ERROR,,,
16,Caluinae,caluina,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003103,O,B-PERS,B-PERS,B-LOC,DIFF,ERROR,,,ERROR
18,Catienae,catiena,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003105,O,B-PERS,B-PERS,B-LOC,DIFF,ERROR,,,ERROR
38,Chionen,chione,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003125,O,I-PERS,B-LOC,B-PERS,DIFF,ERROR,ERROR,ERROR,
10,Idaei,idaeus,ADJ,I-PER,Nested B-GEO?,I-PER,,I-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003137,B-PERS,B-GRP,O,B-PERS,DIFF,ERROR,ERROR,ERROR,ERROR
21,Mineruam,minerua,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003148,O,B-LOC,B-LOC,B-LOC,DIFF,ERROR,ERROR,ERROR,ERROR
